SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,1,3,0,1210
2,1,6,0,1740
2,1,2,0,789
2,1,2,0,778
2,1,2,0,803
2,3,1914,1744,1609
2,3,1733,1741,1589
2,4,10248,4528,667
2,4,3862,3635,798
2,2,2050,0,1103
2,2,3158,0,1715
2,2,2129,0,1467
2,3,2315,1866,1577
2,1,4,0,1019
2,3,3211,1815,1868
2,1,2,0,817
2,1,4,0,1452
2,3,1808,1544,1419
2,1,4,0,915
2,1,3,0,1520
2,4,3842,3360,602
2,1,4,0,1131
2,4,3411,2880,680
2,2,1640,0,774
2,2,1445,0,822
2,1,3,0,751
2,1,3,0,986
2,1,6,0,1295
2,1,2,0,891
2,1,3,0,912
2,1,6,0,1498
2,3,1771,2064,1483
2,3,1701,2116,1394
2,4,3678,3525,620
2,4,3596,2858,640
2,2,1636,0,871
2,2,1914,0,1107
2,2,1600,0,869
2,3,1666,1453,1396
2,3,1875,1525,1184
2,3,1845,1732,1133
2,4,3121,3705,642
2,4,4089,2935,582
2,2,1812,0,1190
2,2,1894,0,1600
2,1,4,0,1118
2,1,3,0,898
2,1,3,0,840
2,1,3,0,1093
2,1,5,0,1287
2,1,3,0,882
2,3,1859,1733,1190
2,3,1680,2377,1861
2,1,2,0,838
2,1,15,0,977
2,1,5,0,1043
2,4,4205,3995,596
2,1,3,0,1199
2,1,3,0,1220
2,4,3778,3541,664
2,1,3,0,932
2,2,1667,0,835
2,2,2140,0,990
2,2,1618,0,1181
2,3,1766,1700,1350
2,3,2121,1664,1426
2,3,1592,2087,1461
2,4,3367,2801,595
2,4,3595,2699,622
2,2,1527,0,1016
2,2,1560,0,782
2,1,2,0,671
2,1,3,0,808
2,1,2,0,777
2,1,3,0,1743
2,1,3,0,1097
2,1,2,0,794
2,3,2345,2036,1794
2,3,1891,2248,1976
2,4,3019,3434,873
2,4,4338,3101,577
2,2,2589,0,879
2,2,2508,0,1353
2,1,4,0,1164
2,2,2035,0,903
2,1,3,0,1587
2,1,2,0,808
2,1,2,0,815
2,3,2118,1808,1108
2,1,3,0,956
2,3,2351,1955,1154
2,1,3,0,1090
2,3,1643,2049,1280
2,4,3563,2856,584
2,4,4125,2709,649
2,2,1807,0,828
2,2,2002,0,889
2,1,3,0,1231
2,1,4,0,1258
2,1,3,0,992
2,1,3,0,1008
2,1,3,0,834
2,1,5,0,1231
2,3,1952,1669,1534
2,3,1515,1292,1577
2,4,2712,2624,585
2,4,4142,3633,737
2,2,1543,0,851
2,2,1621,0,884
2,2,1443,0,977
2,3,1424,1223,1295
2,3,2028,1884,1287
2,1,2,0,744
2,1,4,0,1140
2,1,3,0,1474
2,3,2209,1829,1427
2,1,5,0,1472
2,1,3,0,1024
2,4,5817,3157,1009
2,1,6,0,1685
2,4,3524,2706,685
2,2,1553,0,884
2,2,1615,0,893
2,1,3,0,998
2,1,3,0,1370
2,1,2,0,664
2,1,3,0,1398
2,3,1708,1536,2097
2,1,3,0,1385
2,3,1642,1375,1593
2,1,2,0,1204
2,4,4437,2861,599
2,4,3130,2502,832
2,2,1746,0,843
2,2,1861,0,1045
2,2,2204,0,1174
2,3,1705,1704,1202
2,3,2112,2390,1969
2,3,1622,1331,1060
2,4,3614,2686,662
2,4,4339,3979,896
2,2,1829,0,936
2,2,2146,0,1196
2,1,4,0,1382
2,1,3,0,1356
2,1,4,0,1305
2,1,1,0,670
2,1,3,0,701
2,1,2,0,657
2,3,1847,1589,1368
2,1,2,0,684
2,3,1762,1645,1856
2,1,3,0,1099
2,1,4,0,1396
2,1,5,0,2022
2,4,4229,6020,675
2,1,2,0,715
2,1,2,0,1393
2,4,3721,3338,646
2,2,2616,0,1396
2,2,1990,0,960
2,2,1756,0,812
2,3,1750,1471,1458
2,3,1912,2017,1949
2,3,1912,1700,1296
2,4,3780,4188,636
2,4,3547,4101,711
2,2,2193,0,1514
2,2,1809,0,1113
2,1,2,0,730
2,1,2,0,821
2,1,2,0,721
2,1,2,0,635
2,1,3,0,784
2,1,2,0,697
2,3,1723,1669,1504
2,3,2152,1891,1340
2,1,3,0,1071
2,1,6,0,3058
2,4,6763,5222,802
2,1,13,0,1922
2,1,4,0,1428
2,1,3,0,1560
2,4,3809,3875,673
2,1,2,0,932
2,2,1971,0,1086
2,2,1846,0,898
2,2,1757,0,1053
2,3,1871,1520,1277
2,3,1555,1372,1072
2,3,1871,1557,1455
2,4,3900,3198,558
2,4,5605,4715,1022
2,2,1754,0,1220
2,2,1932,0,1301
2,1,2,0,821
2,1,2,0,666
2,1,2,0,892
2,1,3,0,946
2,1,2,0,875
2,1,2,0,688
2,3,1851,1659,1303
2,3,1921,2003,1880
2,4,3339,4374,759
2,4,3537,2750,584
2,2,2315,0,1227
2,1,5,0,1572
2,1,17,0,1691
2,2,2143,0,1566
2,1,3,0,859
2,2,2148,0,1183
2,1,5,0,1776
2,1,4,0,1565
2,3,2735,1856,1510
2,1,4,0,946
2,3,1929,2120,1619
2,3,2129,3171,1653
